Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
73131,2026,LCK,BNK FearX,HANJIN BRION,HANJIN BRION,BNK FearX,Aatrox,Xin Zhao,Galio,Yunara,Lulu,Ambessa,Trundle,Ryze,Varus,Nautilus
73132,2026,LCK,HANJIN BRION,BNK FearX,BNK FearX,HANJIN BRION,Sion,Poppy,Syndra,Lucian,Braum,RekSai,Wukong,Orianna,Kaisa,Alistar
73133,2026,LCK,KT Rolster,Gen.G,Gen.G,Gen.G,KSante,Vi,Taliyah,Ezreal,Alistar,Rumble,Xin Zhao,Yone,Varus,Rakan
73134,2026,LCK,Gen.G,KT Rolster,Gen.G,Gen.G,Sion,Ambessa,Anivia,Yunara,Rell,Renekton,Wukong,Ryze,Ziggs,Nautilus
73136,2026,LCK,Hanwha Life Esports,Nongshim RedForce,Nongshim RedForce,Hanwha Life Esports,Sion,Aatrox,Azir,Aphelios,Lulu,Zaahen,Pantheon,Orianna,Corki,Neeko
73137,2026,LCK,Nongshim RedForce,Hanwha Life Esports,Nongshim RedForce,Hanwha Life Esports,Gwen,Jarvan IV,Taliyah,Yunara,Nautilus,Ambessa,Xin Zhao,Ryze,Varus,Braum
73139,2026,LCK,T1,DRX,T1,T1,Zaahen,Nocturne,Azir,Aphelios,Thresh,Jax,Xin Zhao,Orianna,Yunara,Bard
73140,2026,LCK,T1,DRX,DRX,DRX,Gnar,Sylas,Ryze,Kaisa,Neeko,Renekton,Ambessa,Taliyah,Corki,Alistar
73141,2026,LCK,DRX,T1,T1,T1,Gragas,Vi,Syndra,Lucian,Braum,Gwen,Jarvan IV,Aurora,Kalista,Renata Glasc
73142,2026,LCK,Dplus KIA Challengers,Gen.G Global Academy,Dplus KIA Challengers,Dplus KIA Challengers,Renekton,Wukong,Taliyah,Yunara,Lulu,Ambessa,Xin Zhao,Syndra,Jhin,Neeko
73143,2026,LCK,Dplus KIA Challengers,Gen.G Global Academy,Dplus KIA Challengers,Gen.G Global Academy,Zaahen,Jarvan IV,Anivia,Varus,Alistar,Sion,Nocturne,Ryze,Ezreal,Leona
73387,2026,LCK,Dplus KIA,Nongshim RedForce,Dplus KIA,Dplus KIA,KSante,Jarvan IV,Ryze,Sivir,Bard,Rumble,Pantheon,Taliyah,Ezreal,Neeko
73388,2026,LCK,Dplus KIA,Nongshim RedForce,Nongshim RedForce,Dplus KIA,Gwen,Qiyana,Zoe,Varus,Nautilus,Ambessa,Nocturne,Aurora,Yunara,Leona
73389,2026,LCK,Dplus KIA,Nongshim RedForce,Dplus KIA,Dplus KIA,Zaahen,Vi,Twisted Fate,Lucian,Nami,Gnar,Jayce,Akali,Kalista,Renata Glasc
73390,2026,LCK,DN SOOPers,DRX,DRX,DRX,RekSai,Xin Zhao,Azir,Yunara,Alistar,Renekton,Nocturne,Orianna,Corki,Braum
