Game ID,Year,Region,Team Blue,Team Red,Winner,FT5 Winner,Champ 1,Champ 2,Champ 3,Champ 4,Champ 5,Champ 6,Champ 7,Champ 8,Champ 9,Champ 10
72333,2025,LPL,Invictus Gaming,Bilibili Gaming,Bilibili Gaming,N/A,Ambessa,Wukong,Annie,Xayah,Bard,Yorick,Qiyana,Galio,Kaisa,Alistar
72334,2025,LPL,Invictus Gaming,Bilibili Gaming,Invictus Gaming,N/A,Sion,Skarner,Azir,Jhin,Rakan,Gwen,Pantheon,Taliyah,Miss Fortune,Rell
72335,2025,LPL,Bilibili Gaming,Invictus Gaming,Bilibili Gaming,N/A,KSante,Naafiri,Lissandra,Sivir,Braum,Jayce,Vi,Ahri,Zeri,Lulu
72337,2025,LPL,Top Esports,Weibo Gaming,Top Esports,N/A,Gnar,Qiyana,Ryze,Corki,Alistar,KSante,Wukong,Aurora,Yunara,Braum
72338,2025,LPL,Weibo Gaming,Top Esports,Top Esports,N/A,Aatrox,Xin Zhao,Annie,Kaisa,Neeko,Rumble,Jarvan IV,Orianna,Sivir,Karma
72339,2025,LPL,Weibo Gaming,Top Esports,Weibo Gaming,N/A,Sion,Vi,Ahri,Kalista,Renata Glasc,Ornn,Naafiri,Galio,Xayah,Rakan
72340,2025,LPL,Top Esports,Weibo Gaming,Top Esports,N/A,Yorick,Pantheon,Viktor,Zeri,Rell,Ambessa,Trundle,Morgana,Vayne,Leona
72342,2025,LPL,DRX Challengers,Gen.G Global Academy,DRX Challengers,DRX Challengers,Rumble,Pantheon,Ryze,Xayah,Rakan,Ambessa,Wukong,Galio,Corki,Rell
72436,2025,LPL,JD Gaming,Weibo Gaming,JD Gaming,N/A,Rumble,Pantheon,Orianna,Corki,Nautilus,Aurora,Jarvan IV,Galio,Kaisa,Alistar
72437,2025,LPL,Weibo Gaming,JD Gaming,JD Gaming,N/A,Renekton,Xin Zhao,Taliyah,Ezreal,Karma,KSante,Vi,Annie,Xayah,Rakan
72438,2025,LPL,Weibo Gaming,JD Gaming,Weibo Gaming,N/A,Sion,Naafiri,Twisted Fate,Yunara,Lulu,Mordekaiser,Poppy,Viktor,Sivir,Neeko
72439,2025,LPL,JD Gaming,Weibo Gaming,JD Gaming,N/A,Udyr,Kindred,Swain,Lucian,Braum,Ambessa,Zed,Lissandra,Jhin,Bard
72441,2025,LPL,Invictus Gaming,Anyone s Legend,Anyone s Legend,N/A,KSante,Jarvan IV,Taliyah,Sivir,Alistar,Sion,Qiyana,Annie,Kaisa,Leona
72442,2025,LPL,Invictus Gaming,Anyone s Legend,Anyone s Legend,N/A,Yorick,Wukong,Orianna,Lucian,Braum,Chogath,Pantheon,Galio,Corki,Neeko
72443,2025,LPL,Invictus Gaming,Anyone s Legend,Anyone s Legend,N/A,Aatrox,Sylas,Jayce,Varus,Rell,Renekton,Trundle,Akali,Miss Fortune,Bard
72446,2025,LPL,Colossal Gaming,Zena Esports,Zena Esports,Zena Esports,Ambessa,Nocturne,Orianna,Sivir,Rell,Renekton,Wukong,Azir,Corki,Alistar
72466,2025,LPL,Anyone s Legend,JD Gaming,Anyone s Legend,N/A,Sion,Poppy,Annie,Yunara,Leona,Ambessa,Pantheon,Orianna,Corki,Rell
72467,2025,LPL,JD Gaming,Anyone s Legend,Anyone s Legend,N/A,Aatrox,Xin Zhao,Ryze,Xayah,Rakan,Renekton,Wukong,Galio,Ziggs,Nautilus
72468,2025,LPL,JD Gaming,Anyone s Legend,Anyone s Legend,N/A,Rumble,Vi,Taliyah,Kaisa,Lulu,KSante,Jarvan IV,Lissandra,Sivir,Braum
72471,2025,LPL,Top Esports,Bilibili Gaming,Bilibili Gaming,N/A,Ambessa,Jarvan IV,Annie,Corki,Rell,Sion,Wukong,Orianna,Kaisa,Alistar
72472,2025,LPL,Top Esports,Bilibili Gaming,Top Esports,N/A,KSante,Pantheon,Ryze,Ezreal,Karma,Renekton,Trundle,Aurora,Sivir,Leona
72473,2025,LPL,Bilibili Gaming,Top Esports,Top Esports,N/A,Rumble,Morgana,Tristana,Varus,Nautilus,Ornn,Sylas,Yasuo,Xayah,Rakan
72474,2025,LPL,Bilibili Gaming,Top Esports,Bilibili Gaming,N/A,Yorick,Maokai,Azir,Kalista,Renata Glasc,Chogath,Naafiri,Taliyah,Lucian,Braum
72475,2025,LPL,Top Esports,Bilibili Gaming,Bilibili Gaming,N/A,Gragas,Vi,Ahri,Jhin,Pyke,Mordekaiser,Xin Zhao,Swain,Caitlyn,Elise
72476,2025,LPL,Gen.G Global Academy,BNK FEARX Youth,Gen.G Global Academy,Gen.G Global Academy,Rumble,Jarvan IV,Ryze,Varus,Renata Glasc,Ambessa,Xin Zhao,Orianna,Corki,Pyke
72497,2025,LPL,Anyone s Legend,Top Esports,Anyone s Legend,N/A,Aurora,Trundle,Galio,Sivir,Poppy,Yorick,Pantheon,Viktor,Corki,Leona
72498,2025,LPL,Top Esports,Anyone s Legend,Top Esports,N/A,Gnar,Lee Sin,Orianna,Xayah,Rakan,KSante,Zed,Akali,Jinx,Lulu
72499,2025,LPL,Anyone s Legend,Top Esports,Top Esports,N/A,Renekton,Xin Zhao,Veigar,Ziggs,Nautilus,Jayce,Jarvan IV,Sylas,Jhin,Rell
72501,2025,LPL,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee,Crvena zvezda Esports,Yone,Sejuani,Azir,Yunara,Rell,Rumble,Vi,Akali,Corki,Nautilus
72521,2025,LPL,Bilibili Gaming,Top Esports,Top Esports,N/A,Rumble,Wukong,Aurora,Yunara,Leona,Sion,Pantheon,Azir,Kaisa,Rakan
72522,2025,LPL,Bilibili Gaming,Top Esports,Bilibili Gaming,N/A,Yorick,Jarvan IV,Galio,Ezreal,Karma,Ambessa,Xin Zhao,Orianna,Ziggs,Rell
72523,2025,LPL,Top Esports,Bilibili Gaming,Top Esports,N/A,Renekton,Zed,Ryze,Varus,Braum,Ornn,Trundle,Cassiopeia,Corki,Bard
72524,2025,LPL,Bilibili Gaming,Top Esports,Bilibili Gaming,N/A,KSante,Poppy,Ahri,Caitlyn,Elise,Mordekaiser,Nocturne,Taliyah,Draven,Nautilus
72525,2025,LPL,Top Esports,Bilibili Gaming,Bilibili Gaming,N/A,Aatrox,Lee Sin,Annie,Lucian,Neeko,Jayce,Sejuani,Akali,Jhin,Alistar
72526,2025,LPL,Gen.G eSports,T1,Gen.G eSports,T1,Camille,Vi,Galio,Yunara,Braum,Ambessa,Xin Zhao,Orianna,Corki,Poppy
62967,2025,LCK,OK BRION,DRX,OK BRION,OK BRION,KSante,Skarner,Yone,Miss Fortune,Rell,Jayce,Sejuani,Viktor,Corki,Leona
62968,2025,LCK,DRX,OK BRION,DRX,DRX,Galio,Wukong,Aurora,Kaisa,Poppy,Rumble,Viego,Taliyah,Xayah,Rakan
62969,2025,LCK,OK BRION,DRX,DRX,OK BRION,Renekton,Brand,Yasuo,Varus,Nautilus,Gragas,Xin Zhao,Ambessa,Kalista,Renata Glasc
62970,2025,LCK,DN Freecs,Nongshim RedForce,DN Freecs,DN Freecs,Ambessa,Wukong,Akali,Kalista,Renata Glasc,Jayce,Sejuani,Yone,Ziggs,Alistar
62971,2025,LCK,Nongshim RedForce,DN Freecs,Nongshim RedForce,DN Freecs,KSante,Xin Zhao,Viktor,Xayah,Rakan,Aurora,Nocturne,Orianna,Kaisa,Rell
62972,2025,LCK,DN Freecs,Nongshim RedForce,DN Freecs,Nongshim RedForce,Jax,Ivern,Smolder,Ashe,Braum,Sion,Nidalee,Corki,Ezreal,Blitzcrank
62973,2025,LCK,Ramboot Club,ZETA,Ramboot Club,Ramboot Club,Rumble,Wukong,Orianna,Ezreal,Alistar,KSante,Sejuani,Hwei,Varus,Rell
